model_id,val_accuracy,test_accuracy,val_f1,test_f1,val_precision,test_precision,val_recall,test_recall,val_equalized_odds,test_equalized_odds,val_cuae,test_cuae,val_dem_parity,test_dem_parity,val_equal_opportunity,test_equal_opportunity,val_predictive_equality,test_predictive_equality,val_predictive_parity,test_predictive_parity,val_neg_predictive_parity,test_neg_predictive_parity,val_acc_robustness,test_acc_robustness
rtc_637,0.6985714285714286,0.714,0.4505058005058006,0.46995785176776456,0.4973015873015873,0.526771140648731,0.4142857142857143,0.4311111111111111,0.47000000000000003,0.2533876975737441,0.5647721454173067,0.2488972431077694,0.2779568612651319,0.24867448967118938,0.47000000000000003,0.24573643410852714,0.24706349206349207,0.20403951054105854,0.5631746031746031,0.22291005291005295,0.2515018797352764,0.22343928928011084,0.032738752829065146,0.006998542122237654
rtc_638,0.7042857142857143,0.7086666666666667,0.47568062568062575,0.4817629673178362,0.5046485260770975,0.5183479102659913,0.45714285714285713,0.45999999999999996,0.52,0.28195912614517266,0.5742959549411163,0.2538972431077694,0.3024466571834993,0.2648473291773622,0.52,0.27906976744186046,0.247972582972583,0.20103199174406608,0.5726984126984127,0.23362433862433862,0.24987532002048135,0.19872645144227302,0.030675595162340606,0.01665986255670088
rtc_639,0.7042857142857143,0.7140000000000001,0.4561723713778508,0.46236289425319077,0.5043389789933569,0.5364090560512877,0.4238095238095238,0.4155555555555555,0.489047619047619,0.30056377730796335,0.5763845096612499,0.2783416875522139,0.2556112141455246,0.2397037037037037,0.489047619047619,0.2976744186046511,0.2194011544011544,0.18152600753219947,0.5747869674185464,0.24263338111164198,0.2427212796164409,0.19890453893743368,0.03107308919536721,0.01840585532389305
rtc_640,0.7242857142857144,0.6953333333333334,0.4932958642177255,0.45738452542908375,0.552640774139113,0.4946523151900636,0.4619047619047619,0.4333333333333333,0.5093506493506493,0.4103199174406605,0.6685164835164835,0.3296381861334141,0.2458309933309933,0.38738271604938274,0.46238095238095234,0.3327796234772979,0.23595238095238097,0.3787409700722394,0.6326190476190476,0.29314467963990765,0.23583823735463083,0.22314430501930502,0.037970327676139254,0.01470804305855285
rtc_641,0.6971428571428572,0.714,0.443606682218843,0.4633603019629017,0.4938533114395184,0.5276561938068067,0.40476190476190477,0.4177777777777778,0.44238095238095243,0.24075317007853547,0.5688888888888889,0.2635380116959064,0.2731949565032271,0.22185014056961255,0.44238095238095243,0.20330011074197119,0.24706349206349207,0.200495892136759,0.5688888888888889,0.2367989417989418,0.25448065006888543,0.22743088591876628,0.03420137764042132,0.00728431359084684
rtc_642,0.6971428571428572,0.714,0.443606682218843,0.4633603019629017,0.4938533114395184,0.5276561938068067,0.40476190476190477,0.4177777777777778,0.44238095238095243,0.24075317007853547,0.5688888888888889,0.2635380116959064,0.2731949565032271,0.22185014056961255,0.44238095238095243,0.20330011074197119,0.24706349206349207,0.200495892136759,0.5688888888888889,0.2367989417989418,0.25448065006888543,0.22743088591876628,0.03420137764042132,0.00728431359084684
rtc_643,0.6985714285714286,0.712,0.44199208060424133,0.4540694314745789,0.4972461685823755,0.5228303231600405,0.4,0.4066666666666666,0.44238095238095243,0.2468439784949253,0.5784126984126984,0.2768713450292397,0.28054189527873735,0.20888717760664957,0.44238095238095243,0.21415282392026577,0.24706349206349207,0.16846126010212698,0.5784126984126984,0.2558465608465609,0.250567122935544,0.214097552585433,0.032185828095854796,0.009476070829586859
rtc_644,0.6985714285714286,0.7173333333333334,0.42791828448166475,0.4508163410859007,0.496741118077325,0.5337461973055193,0.3761904761904762,0.3933333333333333,0.4257142857142857,0.2929290955282747,0.5795238095238096,0.2842522974101921,0.24084930938361984,0.22106172839506172,0.4257142857142857,0.22132890365448504,0.21914141414141416,0.18079021082117058,0.5795238095238096,0.24770774515339733,0.2357487468671679,0.2213951545530493,0.03153957006705669,0.012289036095775181
rtc_645,0.722857142857143,0.6993333333333334,0.464688433791882,0.4195221169793545,0.5655837218337219,0.49821291735084844,0.4095238095238095,0.37555555555555553,0.4497142857142856,0.3787483881947126,0.6719047619047618,0.24379446640316207,0.2022162747162747,0.3664053294218311,0.4221385281385281,0.28925802879291246,0.2174675324675325,0.3406229477436908,0.6719047619047618,0.19176948051948048,0.22755711788930083,0.21712779973649546,0.04364297980157705,0.012289036095775174
rtc_646,0.7014285714285714,0.7126666666666667,0.430145390708771,0.4478547422090422,0.5043890257252326,0.525595156959357,0.3761904761904762,0.39333333333333337,0.44238095238095243,0.3050925410778532,0.5834126984126984,0.24377610693400165,0.2505052652421073,0.2736296296296296,0.44238095238095243,0.26420819490586933,0.21914141414141416,0.22670982268505488,0.5834126984126984,0.19808794015690562,0.25954925191767303,0.21629643213725372,0.03593828667492247,0.011428571428571437
